depthIncrementID,sampleID,rootStatus,sizeCategory,rootDryMass,incrementRootBiomass,incrementRootDensity
YELL.1.20,YELL.1.20.LIVE.<=2MM,live,<=2mm,1.251,125.1,1251
YELL.2.100,YELL.2.100.DEAD.<=2MM,dead,<=2mm,0.0111,1.11,5.55
YELL.2.60,YELL.2.60.DEAD.>2MM,dead,>2mm,0.0239,2.39,23.9
YELL.1.100,YELL.1.100.LIVE.>2MM,live,>2mm,0.1072,10.72,53.6
YELL.1.120,YELL.1.120.LIVE.<=2MM,live,<=2mm,0.6385,63.85,319.25
YELL.1.40,YELL.1.40.LIVE.<=2MM,live,<=2mm,0.7333,73.33,733.3
YELL.2.0,YELL.2.0.LIVE.<=2MM,live,<=2mm,4.2052,420.52,4205.2
YELL.1.100,YELL.1.100.LIVE.<=2MM,live,<=2mm,0.4246,42.46,212.3
YELL.3.180,YELL.3.180.LIVE.<=2MM,live,<=2mm,0.0143,1.43,7.15
YELL.2.20,YELL.2.20.DEAD.>2MM,dead,>2mm,0.0149,1.49,14.9
YELL.1.70,YELL.1.70.LIVE.<=2MM,live,<=2mm,0.7278,72.78,727.8
YELL.1.80,YELL.1.80.LIVE.<=2MM,live,<=2mm,0.2527,25.27,252.7
YELL.1.60,YELL.1.60.LIVE.<=2MM,live,<=2mm,0.5931,49.43,494.25
YELL.1.10,YELL.1.10.LIVE.<=2MM,live,<=2mm,1.7311,173.11,1731.1
YELL.3.0,YELL.3.0.DEAD.<=2MM,dead,<=2mm,0.0191,1.91,19.1
YELL.3.0,YELL.3.0.LIVE.>2MM,live,>2mm,0.8021,80.21,802.1
YELL.1.120,YELL.1.120.LIVE.>2MM,live,>2mm,0.202,20.2,101
YELL.2.20,YELL.2.20.LIVE.<=2MM,live,<=2mm,1.4741,147.41,1474.1
YELL.1.160,YELL.1.160.LIVE.<=2MM,live,<=2mm,0.0161,1.61,8.05
YELL.3.100,YELL.3.100.LIVE.<=2MM,live,<=2mm,0.2861,28.61,143.05
YELL.3.0,YELL.3.0.LIVE.<=2MM,live,<=2mm,2.7364,273.64,2736.4
YELL.1.90,YELL.1.90.LIVE.<=2MM,live,<=2mm,0.2848,28.48,284.8
YELL.2.0,YELL.2.0.LIVE.>2MM,live,>2mm,1.6631,166.31,1663.1
YELL.2.180,YELL.2.180.LIVE.<=2MM,live,<=2mm,0.0139,1.39,6.95
YELL.2.60,YELL.2.60.LIVE.<=2MM,live,<=2mm,0.5461,54.61,546.1
YELL.1.140,YELL.1.140.LIVE.<=2MM,live,<=2mm,0.1178,11.78,58.9
YELL.2.70,YELL.2.70.LIVE.<=2MM,live,<=2mm,0.1679,13.99,139.92
YELL.1.180,YELL.1.180.LIVE.<=2MM,live,<=2mm,0.0471,4.71,23.55
YELL.1.0,YELL.1.0.LIVE.>2MM,live,>2mm,0.6397,63.97,639.7
YELL.1.40,YELL.1.40.LIVE.>2MM,live,>2mm,0.2986,29.86,298.6
YELL.3.60,YELL.3.60.LIVE.<=2MM,live,<=2mm,0.3123,26.03,260.25
YELL.3.70,YELL.3.70.LIVE.<=2MM,live,<=2mm,0.3203,32.03,320.3
YELL.3.40,YELL.3.40.LIVE.<=2MM,live,<=2mm,0.4936,49.36,493.6
YELL.3.20,YELL.3.20.LIVE.<=2MM,live,<=2mm,1.0996,109.96,1099.6
YELL.1.0,YELL.1.0.LIVE.<=2MM,live,<=2mm,2.7723,277.23,2772.3
YELL.2.140,YELL.2.140.LIVE.<=2MM,live,<=2mm,0.0724,7.24,36.2
YELL.2.0,YELL.2.0.DEAD.<=2MM,dead,<=2mm,0.6528,65.28,652.8
YELL.1.50,YELL.1.50.LIVE.<=2MM,live,<=2mm,0.6298,62.98,629.8
YELL.3.140,YELL.3.140.LIVE.<=2MM,live,<=2mm,0.0613,6.13,30.65
YELL.3.10,YELL.3.10.LIVE.<=2MM,live,<=2mm,1.8748,187.48,1874.8
YELL.1.30,YELL.1.30.LIVE.<=2MM,live,<=2mm,1.1036,110.36,1103.6
YELL.2.120,YELL.2.120.LIVE.<=2MM,live,<=2mm,0.1345,13.45,67.25
YELL.1.80,YELL.1.80.DEAD.>2MM,dead,>2mm,0.1183,11.83,118.3
YELL.1.10,YELL.1.10.DEAD.<=2MM,dead,<=2mm,0.0088,0.88,8.8
YELL.2.30,YELL.2.30.LIVE.<=2MM,live,<=2mm,0.7635,76.35,763.5
YELL.2.100,YELL.2.100.LIVE.<=2MM,live,<=2mm,0.1965,19.65,98.25
YELL.2.50,YELL.2.50.LIVE.>2MM,live,>2mm,0.0177,1.77,17.7
YELL.1.70,YELL.1.70.LIVE.>2MM,live,>2mm,0.2445,24.45,244.5
YELL.1.80,YELL.1.80.DEAD.<=2MM,dead,<=2mm,0.0936,9.36,93.6
YELL.2.10,YELL.2.10.LIVE.<=2MM,live,<=2mm,1.7578,175.78,1757.8
YELL.3.80,YELL.3.80.LIVE.<=2MM,live,<=2mm,0.1701,17.01,170.1
YELL.3.30,YELL.3.30.LIVE.<=2MM,live,<=2mm,0.7256,60.47,604.67
YELL.2.90,YELL.2.90.LIVE.<=2MM,live,<=2mm,0.2747,27.47,274.7
YELL.3.120,YELL.3.120.DEAD.<=2MM,dead,<=2mm,0.0097,0.97,4.85
YELL.3.50,YELL.3.50.LIVE.<=2MM,live,<=2mm,0.3518,35.18,351.8
YELL.3.50,YELL.3.50.DEAD.>2MM,dead,>2mm,0.0321,3.21,32.1
YELL.2.0,YELL.2.0.DEAD.>2MM,dead,>2mm,0.417,41.7,417
YELL.2.80,YELL.2.80.LIVE.<=2MM,live,<=2mm,0.0335,3.35,33.5
YELL.3.20,YELL.3.20.LIVE.>2MM,live,>2mm,2.6751,267.51,2675.1
YELL.3.30,YELL.3.30.LIVE.>2MM,live,>2mm,1.3492,112.43,1124.33
YELL.2.50,YELL.2.50.LIVE.<=2MM,live,<=2mm,0.4399,43.99,439.9
YELL.3.30,YELL.3.30.DEAD.<=2MM,dead,<=2mm,0.0142,1.18,11.83
YELL.1.90,YELL.1.90.LIVE.>2MM,live,>2mm,0.2793,27.93,279.3
YELL.3.120,YELL.3.120.LIVE.<=2MM,live,<=2mm,0.2203,22.03,110.15
YELL.3.90,YELL.3.90.LIVE.<=2MM,live,<=2mm,0.78,78,780
YELL.2.160,YELL.2.160.LIVE.<=2MM,live,<=2mm,0.1652,16.52,82.6
YELL.2.40,YELL.2.40.LIVE.<=2MM,live,<=2mm,1.0417,104.17,1041.7
YELL.3.160,YELL.3.160.LIVE.<=2MM,live,<=2mm,0.0127,1.27,6.35
YELL.2.70,YELL.2.70.DEAD.<=2MM,dead,<=2mm,0.0022,0.18,1.83
YELL.3.10,YELL.3.10.LIVE.>2MM,live,>2mm,0.0722,7.22,72.2
